epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,518.583,0.96132,1.20257,1.3378,0.56213,0.60846,0.66221,0.50803,0.92587,1.38007,1.32822,0.002773,0.002773,0.002773
75,524.559,1.02255,1.31296,1.39065,0.73198,0.49519,0.63055,0.47071,0.93781,1.44813,1.35394,0.002674,0.002674,0.002674
76,531.527,0.93998,1.20597,1.30981,0.67729,0.57278,0.66711,0.50164,0.92818,1.40455,1.33526,0.002575,0.002575,0.002575
77,537.424,0.92578,1.21428,1.3016,0.56333,0.6168,0.65369,0.49904,0.91683,1.41031,1.32425,0.002476,0.002476,0.002476
78,544.247,0.9673,1.25019,1.34464,0.53249,0.60925,0.65449,0.50767,0.91538,1.38181,1.33324,0.002377,0.002377,0.002377
79,549.737,0.94351,1.19342,1.33355,0.61583,0.49534,0.61649,0.45953,0.96322,1.5199,1.36315,0.002278,0.002278,0.002278
80,556.753,0.9533,1.18764,1.32784,0.52127,0.66886,0.64897,0.50038,0.92876,1.37691,1.33524,0.002179,0.002179,0.002179
81,562.285,0.94033,1.18492,1.32063,0.58884,0.60005,0.63471,0.49841,0.91131,1.34413,1.32343,0.00208,0.00208,0.00208
82,569.877,0.91445,1.14768,1.28669,0.63431,0.60971,0.66976,0.52369,0.89627,1.31506,1.30792,0.001981,0.001981,0.001981
83,576.19,0.94829,1.18956,1.33028,0.65466,0.61046,0.68015,0.52996,0.90386,1.31126,1.32002,0.001882,0.001882,0.001882
84,583.43,0.91817,1.11557,1.29327,0.48863,0.65179,0.65861,0.50433,0.92466,1.40391,1.32811,0.001783,0.001783,0.001783
85,589.994,0.94179,1.20773,1.32731,0.50078,0.69073,0.67739,0.52758,0.91446,1.29667,1.31964,0.001684,0.001684,0.001684
86,596.407,0.95067,1.20956,1.3308,0.5088,0.66802,0.661,0.52011,0.92206,1.32876,1.33349,0.001585,0.001585,0.001585
87,603.652,0.9162,1.16432,1.29733,0.49925,0.68973,0.66883,0.52034,0.897,1.30503,1.31597,0.001486,0.001486,0.001486
88,609.404,0.94064,1.14892,1.33801,0.55087,0.63302,0.66884,0.52584,0.89105,1.28127,1.3109,0.001387,0.001387,0.001387
89,616.003,0.93319,1.11819,1.30021,0.50766,0.68554,0.65397,0.5158,0.90244,1.33108,1.3188,0.001288,0.001288,0.001288
90,622.825,0.91315,1.13505,1.30418,0.49696,0.63758,0.62686,0.48772,0.90392,1.33916,1.32039,0.001189,0.001189,0.001189
91,634.61,0.91052,1.15859,1.34067,0.46766,0.68674,0.62587,0.48734,0.91986,1.3485,1.3346,0.00109,0.00109,0.00109
92,641.729,0.89859,1.07798,1.31919,0.55807,0.63067,0.64394,0.50498,0.91951,1.28011,1.32873,0.000991,0.000991,0.000991
93,648.737,0.89601,1.08587,1.32216,0.75868,0.49986,0.62649,0.49119,0.92822,1.33858,1.34167,0.000892,0.000892,0.000892
94,655.228,0.89783,1.09217,1.36365,0.65602,0.54611,0.62139,0.47955,0.9253,1.33867,1.34456,0.000793,0.000793,0.000793
95,661.106,0.90171,1.10895,1.35856,0.71934,0.5346,0.62487,0.48958,0.92664,1.28413,1.3511,0.000694,0.000694,0.000694
96,668.392,0.85484,1.03559,1.30776,0.75161,0.49696,0.63228,0.49187,0.90791,1.24661,1.33489,0.000595,0.000595,0.000595
97,674.054,0.86086,1.04084,1.32039,0.7427,0.49551,0.63419,0.4925,0.90882,1.25554,1.3423,0.000496,0.000496,0.000496
98,680.888,0.86428,1.04412,1.32005,0.44982,0.69807,0.63261,0.49179,0.90288,1.27543,1.33125,0.000397,0.000397,0.000397
99,687.614,0.88241,1.06004,1.32851,0.80034,0.4786,0.62948,0.48931,0.90949,1.28504,1.33068,0.000298,0.000298,0.000298
100,694.204,0.86115,1.04813,1.31434,0.80374,0.47355,0.63404,0.49328,0.90291,1.26824,1.32866,0.000199,0.000199,0.000199
