epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,559.049,0.71619,0.75511,0.94421,0.33018,0.21031,0.17518,0.14655,1.06504,3.08601,1.12614,0.004159,0.004159,0.004159
61,568.037,0.70008,0.745,0.93987,0.36802,0.24094,0.20402,0.17439,1.01993,3.10327,1.12115,0.00406,0.00406,0.00406
62,577.314,0.71517,0.73927,0.93607,0.31808,0.23549,0.19435,0.16619,1.04659,3.2463,1.11759,0.003961,0.003961,0.003961
63,586.359,0.6907,0.71516,0.93679,0.3634,0.18829,0.18067,0.15204,1.09176,3.22352,1.14665,0.003862,0.003862,0.003862
64,595.436,0.69584,0.72821,0.93525,0.46311,0.16725,0.17915,0.15229,1.00916,3.3625,1.09707,0.003763,0.003763,0.003763
65,604.502,0.68775,0.7069,0.93323,0.46763,0.16955,0.1796,0.15176,1.14595,3.17236,1.14646,0.003664,0.003664,0.003664
66,613.532,0.68598,0.67474,0.93758,0.46995,0.17193,0.18149,0.15158,1.03428,3.10279,1.14363,0.003565,0.003565,0.003565
67,622.578,0.68015,0.68168,0.93092,0.33815,0.23132,0.16808,0.14459,1.04501,3.36919,1.11664,0.003466,0.003466,0.003466
68,631.751,0.67717,0.67324,0.93359,0.39647,0.20887,0.17408,0.14925,1.07314,3.40059,1.14268,0.003367,0.003367,0.003367
69,640.857,0.6872,0.67093,0.93007,0.43461,0.19527,0.18507,0.15832,1.06518,3.38228,1.14217,0.003268,0.003268,0.003268
70,649.952,0.64971,0.62514,0.91844,0.38222,0.19026,0.17621,0.15465,1.052,3.35797,1.10435,0.003169,0.003169,0.003169
71,659.052,0.65979,0.63373,0.92182,0.62089,0.15665,0.17362,0.14893,1.09233,3.55324,1.10909,0.00307,0.00307,0.00307
72,668.146,0.63964,0.61686,0.91508,0.46588,0.17635,0.16645,0.14261,1.02177,3.17134,1.10557,0.002971,0.002971,0.002971
73,677.294,0.64488,0.6153,0.91343,0.28772,0.22793,0.18268,0.15693,1.03491,3.21709,1.08603,0.002872,0.002872,0.002872
74,686.368,0.64504,0.5986,0.91647,0.48783,0.17193,0.17886,0.15443,1.12608,3.40529,1.1452,0.002773,0.002773,0.002773
75,695.36,0.62761,0.58518,0.9073,0.49106,0.18371,0.17187,0.14512,1.06139,3.58852,1.11429,0.002674,0.002674,0.002674
76,704.67,0.6234,0.57374,0.90402,0.45065,0.19378,0.18565,0.15749,1.06861,3.55463,1.12103,0.002575,0.002575,0.002575
77,714.001,0.61883,0.576,0.90937,0.56947,0.17699,0.18479,0.15888,1.05999,3.44865,1.13205,0.002476,0.002476,0.002476
78,723.131,0.61297,0.56372,0.90441,0.51543,0.16983,0.17512,0.15201,1.04544,3.4339,1.1389,0.002377,0.002377,0.002377
79,732.146,0.61159,0.55986,0.89366,0.26615,0.21974,0.17057,0.14791,1.04964,3.53054,1.10434,0.002278,0.002278,0.002278
80,741.21,0.61511,0.5562,0.90754,0.28075,0.22309,0.18142,0.1583,1.04614,3.52638,1.08656,0.002179,0.002179,0.002179
81,750.589,0.60403,0.5466,0.90576,0.34342,0.21262,0.18254,0.16137,1.07853,3.44069,1.12499,0.00208,0.00208,0.00208
82,759.781,0.59819,0.53918,0.89678,0.3125,0.22812,0.18165,0.15385,1.06567,3.47122,1.13429,0.001981,0.001981,0.001981
83,768.843,0.60014,0.54262,0.9033,0.36945,0.23462,0.18389,0.16047,1.04143,3.55315,1.11124,0.001882,0.001882,0.001882
84,777.917,0.59327,0.52542,0.89635,0.36773,0.19749,0.18598,0.16287,1.02319,3.5513,1.10452,0.001783,0.001783,0.001783
85,786.949,0.56983,0.52141,0.89646,0.39099,0.19937,0.19414,0.17056,1.00658,3.46913,1.09572,0.001684,0.001684,0.001684
86,796.025,0.58957,0.50642,0.88804,0.32012,0.22763,0.19083,0.16547,1.05928,3.47259,1.10378,0.001585,0.001585,0.001585
